id,changed_company_id,name
489,,Mindscape
491,,Dreamworks Games
492,,Atomic Games
493,,Stormregion
494,,Battlefront.com
495,,Big Time Software
496,,EA Pacific
498,5225.0,Pyro Studios
499,,Relic
500,,Auran
501,,Delphine Software
502,,(Archive) Valve Software - duplicate
503,,Mitsumi
505,,Outrage Games
506,7462.0,Parallax Software
507,,Volition Inc
508,,PlayFirst
510,,Larian Studios
512,,Ocean
513,543.0,Digital Image Design
515,,Razorworks Studios
516,,4HEAD Studios
517,,Paradox Interactive
518,,Third Wire
519,,Graphic Simulations
522,,Origin
523,,Graphsim Entertainment
524,,Lead Pursuit
525,,GMX Media
528,,"SSI (Strategic Simulations, Inc.)"
529,,Flying Legends
530,,Eagle Dynamics
532,1792.0,Probe Entertainment
533,,Stardock
534,,Sick Puppies
535,,Papyrus
536,365.0,DMA Design
537,,Massive Entertainment
538,,Viva Media
539,,SimBin
540,,10tacle Studios
541,,Team .366
542,636.0,Barking Dog
543,,Rage Software
545,,Particle Systems
547,,Accolade
548,,Eclipse Software
549,,Hypnos
550,,Gamestorm
551,,NetDevil
552,,Crystal Dynamics
553,57587.0,Access Software
555,,EA Orlando
558,,FASA Studio
